Tweet Text	# number	Medical relevance	X	Does X cure cancer 	
jisung: *invents flying cars, finds the cure to cancer, ends homophobia*  stray kids: cool  jeongin: *breathes*  stray kids: UWU YES BBY UR SO PRECIOUS AND TALENTED AND IF WE COULD ONLY TELL THE WORLD HOW MUCH YOU MEAN TO US	308	no			
The sickness which has infected the minds of weak Liberals is spreading like a cancer. We MUST find a cure and eradicate the liberal stench on our planet for the good of all humanity. When you hit rock bottom, you will find people like Michelle Wolf there. https://t.co/rdbjqgYO5R	284	no			
Peacock tears get eggs.  Eating Mangoes get babies. Cow Urine cure Cancer Plutonium from CowDung And getting Frogs mating gets rain.   Biological and Zoological studies under Nagpur Whatsapp University is taking a new turn in World Science.. https://t.co/2BTVmLKBWX	246	yes	cow urine	no	similarly eita te Whatsapp University lekha. Ki kore eta DL model nuhjbe :(
I am raising funds for my mother's treatments abroad to cure breast cancer in shaa Allaah. Please share and donate what is possible, may Allaah bless you all.   https://t.co/WruAarCxHZ	224	no			
The Testes , Brain and Spinal Cord are what is known as sanctuary sites. Stuff like cancer and HIV can quickly run there to hide knowing fully well that chemotherapy and ARV find it difficult to reach there, making it's complete cure difficult. https://t.co/mTaP41wY6J	214	no			
No matter what our president does, he will never get the credit he deserves. He could cure cancer, and everyone would say.. he should of been worrying about heart disease.   #TrumpKimSummit	214	no			
❝ you are the state lottery,                the cure for cancer,         and the three wishes from                      Aladdin’s lamp all rolled into                                   one...❞  #CaratSelcaDay #17CaratSelcaDay #SEVENTEEN #JOSHUA @pledis_17 https://t.co/FQlnl6lLQx	211	no			
Things like HIV just don't appear from Nowhere. These things are manufactured. And someone somewhere has a Cure for it. Despite the fact that Viral diseases are perceived to have no Cure. This is a Business. Even Cancer is a Business 🤷.	197	no			
My face when I see how much money we’ve raised to find a cure for cancer!! I have some awesome fans that I really appreciate for supporting me! We’ve raised $17,155 and the new goal is now $20,000.. keep supporting s great cause https://t.co/q14jpnvaMf https://t.co/k56Nryd2CX	188	no			
RT @BroHumors: 1965: "I bet there'll be flying cars and a cure for cancer in the future"	160	no			
Listen. An isotope of uranium ore called Actinium -225 is a cure for cancer. Does NOT kill you like chemo only cancer cells.   Also, gold nanoparticles with ultrasound does too.   Retweet to help this guy know cures exist !!    #QAnon #MAGA  -HolisticDoctorFagAnon https://t.co/I4YZgTnFqE Dear fellow patriots, I need your prayers. I was diagnosed with lung cancer and tomorrow I find out what stage it is.. Im terrified. Thank you all	160	yes	actinium -225	yes	
RT @ashtonbirdie: Trump could literally cure leukemia and people would  protest just to say he’s sexist because he didn’t cure breast cance…	149	no			
Watching a 29 year old woman with stage 4 ovarian cancer that had already metastasized in her brain and lungs, give her Pharma Dr.’s the 🖕and cure it with the Gerson Therapy and MMS. I was 21 when I saw this. https://t.co/nd6pBxoRFa	137	yes	Gerson Therapy, MMS, Pharma Dr	yes	
Selena Gomez could find the cure for cancer and people would still hate on her saying shit like, she should've found it earlier y'all are some miserable ass trash human beings grow tf up	134	no			
@iamsonalibendre Hope you know there are very effective treatments in India, where they use cow urine therapy and other natural ingredients to cure cancer...many people in last stages have been cured.. wish you recover soon! So i saw this woman advising Sonali Bendre who has recently been diagnosed with metastatic cancer to undergo cow urine therapy. WTF  And then i visit her profile to see Modi ji on cover page. Why didn't i guess this earlier  Cow urine..... Seriously https://t.co/hJJMOw73iT	133	yes	urine therapy	no	
#OTD 37 years ago, Terry Fox passed away in New Westminister, BC. Speaking of his run, Fox said “I am not a dreamer, and I am not saying that this will initiate any kind of definitive answer or cure to cancer. But I believe in miracles. I have to.” Watch his #HeritageMinute here. https://t.co/OqonptqcsM	122	no			
@Education4Libs Trump could cure cancer                     AND  The liberal backlash would be..  Yes, they are hypocritically that dumb. https://t.co/3XtSyqurrx	119	no			
i just read that humans can perceive 1million hues while pigeons can see 10billion hues umm can scientists stop wasting time i don’t give a fuck about what colors a bird can see how about you cure cancer or make an app where we can reach through the screen and jerk each other off	100	no			
The major demand for rhino horn is in Asia where it's used in ornamental carvings and traditional medicine. Rhino horn is touted as a cure for hangovers, cancer and impotence. Science has proven all this to be false. https://t.co/H1d371vpLr https://t.co/GjO6u38dxj	94	yes	rhino horn	no	
RT @HealthRanger: The true cause and cure for cancer - must watch: https://t.co/m9squFKL4j #cancer #health	92	no			
#Ayurveda_A_Panacea is the 'Mother of Healing'. St @Gurmeetramrahim Ji tells that the Ayurveda is the first scientific medical branch originated in India. And with the Yoga practices, it becomes a boon to cure cancer, kidney disorders, cardiac arrest, etc. https://t.co/vkJ1Uq8SOD	90	yes	ayurveda	yes	
RT @UberFacts: For decades, Hulda Regehr Clark claimed to have the cure for cancer and made millions of dollars. She died of cancer in 2009.	87	no			
Woman drinks her dog's URINE in a horrifying video while claiming that it completely cleared up her acne - and can also 'help cure cancer' https://t.co/HmRRGOF86l	87	yes	dog's urine	no	eita dicey claiming ta keno no hobe
Gentle reminder that there has been a “War on Cancer” since 1971 when they still didn’t understand how cancer worked, let alone the differences between over 100 types. There is no universal cancer cure that considers race, genetics, and mutations. This conspiracy needs to die	81	no			
A Story deserve to be largely spread. Despite her suffering from the cancer disease and chemotherapy treatment the Palestinian “ Nada Iqshesh” from #Hebron city, exceeds in the high secondary school exams and get 96% cumulative rate . Congratulations 🎉 Nada May God cure you . https://t.co/ToV2kL8cdm	81	no			
“Medical doctors and healthcare personnel alike are stymied by the miraculous cure which recently occurred to Michelle Aldrich who suffered from a deadly form of lung cancer at age 66.” She cured her cancer in 4 months using #cannabis. https://t.co/heKGffbrSx	81	yes	cannabis	yes	
RT @cocozabriskie: It's so crazy bc the sun can like cure my depression and make me glow, but also give me cancer?¿? Talk about a two-faced…	80	no			
@iamsonalibendre Hope you know there are very effective treatments in India, where they use cow urine therapy and other natural ingredients to cure cancer...many people in last stages have been cured.. wish you recover soon!	76	yes	cow urine therapy	yes	
No matter what Senator Bernie Sanders thinks, we are not all the same.  Some people like Stormy Daniels gets into porn while others work hard in school and go on to cure cancer.	75	no			
When she wants a strong independent black man that’s over 7 foot with a college degree, good job, the cure for cancer, &amp; Timmy Turner’s mom and dad’s real name and you fit none of that description but you shoot your shot anyway. #Donnyism https://t.co/YlYyyf7k1o	71	no			
Dejan Lovren could score 10 goals a season, lead Croatia to a WC win, win the Tour de France, cure f*king cancer and still there'll be a section of our supporters saying we need a replacement.	66	no			
WOW!!! They're creating life without sperm and eggs, yet they want us to believe that there's no cure for Cancer/AIDS. 👏🏽👏🏽👏🏽 https://t.co/BoMIaVnOAT	64	no			
Look @realDonaldTrump could cure cancer and the next day there would be columns by Jen Rubin, Nick Kristof &amp; Max Boot about the critical role cancer played in shaping our nation, and how Trump curing cancer is leading America to authoritarianism. It's getting old. #TrumpKimSummit	62	no			
sure he raped a woman with a fork, nearly killed a man for being gay and was proud of it, pledged $100k to domestic violence charities &amp; then never gave a penny.... but what if had grown up to cure cancer? ever consider that? checkmate	59	no			
@JarrodTheLord there's far more money in treating a disease than curing it. Why cure someone of cancer in a day? when you can treat them for a lifetime and bill them every step along the way -	58	no			
Um... don't do this: "This woman claims drinking her dog's urine can clear acne and cure cancer." https://t.co/SxYPiVGISI Yep: "Urine is basically biological waste." #ApproachingMaxBunk? @DrJenGunter	57	yes	dog's urine	none	
@UPSHelp my 4 month old son has terminal brain cancer &amp; his brain tissue was shipped to USC to try to develop a cure and its sitting in your Ontario, ca facility and no one will help me get it delivered It cant wait til Monday or it will be ruined. Please help @UPS	56	yes	brain tissue	none	Not sure about this one
FOR THE LOVE OF PETE!😡  I am staring think that Trump could cure cancer and the left would still find a way to put a negative spin on it.  AWESOME JOB MR. PRESIDENT👏👏  ‘Rocket Man’ 1, Trump 0: North Korea Keeps Its Nukes for Now https://t.co/jxaWTvtWi7	56	no			
RT @StevStiffler: 1965: "I bet there'll be flying cars and a cure for cancer in the future"	56	no			
Trump called Kim Jong Un Rocket Man  @CNN criticized him endlessly  Trump makes peace with Kim  @CNN can't stop criticizing Trump for making peace with a murderous dictator  He could bring world peace and cure cancer, CNN will find a way to hate him  #TuesdayThoughts	49	no			
I firmly believe that a cure for cancer has been found but the government won’t allow it to be released bc it is too big of a money industry...and I think that is the saddest thing.	48	no			
In recent years, a series of clinical trials have shaken up the cancer world, showing it is possible to better treat and even cure some of the most difficult forms of the disease without resorting to the most toxic techniques https://t.co/qhbUGlaC06 https://t.co/yghO3hK8jK	48	no			
FACTS  NO one has PROVEN to grow+thicken human hair, cure acne, cancer or ANY illness or condition modern medical science has not.  Quacks are on social and other media for EGO and MONEY.  Quacks prey on anyone, some choosing a specific demographic, e.g. your kids. © @diomedes66 https://t.co/MrgMueqyEh	48	no			
RT @homoposts: AND STILL NO CURE FOR CANCER AND HIV? https://t.co/X8Pl7yBUz7	47	no			
Yet there’s no cure for Alzheimer’s,no preventatives for cancer , no edit button on Twitter .... and y’all tryna recreate  velociraptors 🤦🏽‍♀️ https://t.co/bAWsZX4KrP	45	no			
I've advised 4000 cancer patients in 12yrs..I've seen most outcomes re side effects, prognosis, cure. My observations: Survival depends on early prognosis, tumour type,fast access to treatments &amp; trials and luck...kale, positive attitude &amp; Vit C will not cure. Nor will sugar kill https://t.co/ySn2C73xaN @campaignkate i was told that my "negativity" towards "positivity" would hasten my demise. And it was from someone who was undergoing cancer treatment.they denied that that statement was saying if you were "positive" it would help cure cancer. Charming person.	39	yes	positive	yes	
Everyone that will please remember my family my grandfathers cancer has come back . If God can cure him one time he will do it again The Bible says the faith of a mustard seed can move mountains ⛰❤️ https://t.co/gmI5gf7aEv Yesterday in church my grandpa stood up and ask prayer for his cancer to be gone he went to the doctors today and he is cancer FREE !!!! Tell me God isn’t real 🙌🏼❤️ https://t.co/e4RKPJZytr	39	no			
RT @ExandShadow: Nintendo could literally cure cancer today and if there's no Animal Crossing there would still be riots	37	no			
@Devarshi_21 @sharma_jyo @MohitKu89856580 @swetasamadhiya @INDIA00541401 @INDIANISMIST @raghu500000 @Krishna333110 @SP_UMANG @me_Giezelle @surewrap @jyotsnavarma9 @ChakdeIndia11 @ragiing_bull @RakeshA12572734 @vera_anz @purushueme @ind_rajat92 @sureshraoayala1 @PremlataAsopa @rajbir2728 @pranjal_dureja @AbdulBarri4444 @gouranga1964 @SGauni @ar_jag84 @vel_jaya @BerretBlack @chittisarma18 @pksrivastava6 @borana_borana @wetwokrishna @debduttakolkata @sbhats @muralydoctrack1 @SUBRATSMSM @pkban @MODIJI_helpus @Bujji40397018 @shakun1931 @SharmaAnks08 @RaiBahadur13 @arrorasanjeev @_ankahi @025_batman @dayonesh @dpka102 @vinish_ind Hyderabad-based scientists solve method to cure cancer through Neem  The city scientists have decoded a phytochemical obtained from the leaves and flowers of the Neem tree, Nimbolide to help cure cancer https://t.co/nhyOIAs9ql	35	yes	flowers of neem tree, Nimbolide	yes	
hey you know how we were trying to cure your cancer? well instead of chemo we gave you HIV, Zika and Bird Flu. And a different, worse kind of cancer. https://t.co/pAMGUsiwG1	34	no			
Somewhere, deep in Neymar's veins, lies the cure for cancer and such ills. Never known a man to recover from physical agony to full health so quickly. He is wasted on a football field. A touch of his hand could be saving millions of lives. Truly a godsend... #WorldCup	33	no			
RT @BrennaSpencer: Like conservatives have said... Trump could cure cancer and the left would still be outraged	33	no			
Ot4 stans talk as if red velvet saved the world from global warming, nuclear war and discovered the cure to cancer before sm added Yeri. https://t.co/JuobmQc3A8	33	no			
How our deceptive cancer cure video went viral and reminded people to be skeptical. https://t.co/jzTp9cRK2k @crackedscience @mcgillu @McGillREPORTER	33	no			
@JRubinBlogger He is exposing the cancer. My biggest concern is that he may not be the chemo that may cure it. Maybe there’s no cure. I don’t know. How can this country heal? The same actors remain in power even under Trump. Hillary and her minions are free. McConnell still reigns...	32	no			
RT @upulie: There's no single cure for cancer and it's unlikely that there will be 😔 https://t.co/F8RfkWJGOK	31	no			
Hemp could free us from oil, prevent deforestation, cure cancer, and It's environmentally friendly. Why isn't there mass funding into this wonder crop? https://t.co/x72pYs05Sc	31	no			
My Tuesday Psychic Vision 1) Donald Trump steps in dog crap 2) He goes on television and tells the world his crap-infested shoes cure cancer 3) The next morning, polls show 95% of his supporters believe that his literally crappy shoes cure cancer #TrumpKimSummit	30	no			
Turmeric has medicinal value and can help cure cancer. Odisha's Kandhamal district turmeric can be exported to international market , which would largely benefit the farmers and boot the economy. But careless govt in Odisha ruined farmers income and prosperity.	30	no			
i believe the U.S. has a cure for cancer and the government won’t let anyone know bc theyre making millions of profit from healthcare and treatment. 🤷🏽‍♀️	30	no			
RT @Habeebinamdar: May Allah heal those with Cancer and cure every sick 🤒 ♥️🙏 https://t.co/QCPWhzujb0	30	no			
RT @CaulfieldTim: "How our deceptive cancer cure video went viral and reminded people to be skeptical" https://t.co/oV6YIFvTMi @crackedscie…	29	no			
Why don't you just be Honest. It doesn't matter what Trump does, you Libtards will never be satisfied. If he found the cure for cancer you would say he interfered with the natural progress of a disease and is going to mutate and cause the death of everyone. https://t.co/g8Gnd2vuQD An eleventh-hour executive order doesn't fix the harm done to thousands of children and their parents.  Trump's order replaces one crisis for another: children don't belong in jail at all, even with their parents, under any circumstances.	29	no			
According to some people Messi has to show up alone on the pitch, score 3 goals, make 4-5 amazing saves, dribble all the players and win the WC. Also we should expect him to cure cancer, solve the economic crisis in Greece, stop the war in Syria and then maybe we appreciate him.	29	no			
RT @BushraHussein1: Help raise £15000 to help fund my mother's treatments to cure cancer Please #donate on @justgiving and RT https://t.co/…	28	no			
Hemp Could Free Us From Oil, Prevent Deforestation, Cure Cancer, and It’s Environmentally Friendly https://t.co/M7poVCXzKP #INDIGENOUS #TAIRP https://t.co/azQ23PWxUv End the deadly &amp; vile agenda of the worlds biggest drug cartel &amp; their drug pushers as they continue to use lobbying &amp; political bribery to keep cannabis/hemp off the market in order to make a fortune selling its lethal, addicting &amp; toxic opioids to the vulnerable public. https://t.co/MVPTfWuC0I	28	no			
Khan sb is not crrrrupt okay. He also isn’t a drug addict and hasn’t lied about the fact that he has three children. He respects women and non-Muslims and has found a cure for cancer. #WazireAzamImranKhan https://t.co/JwboBT7ha1	28	no			
RT @TheRealCheshCat: @MindFullDesignz DJT could cure cancer; and the MSM would complain about the cancer doctors out of jobs.	27	no			
@johncusack John, you base everything you say off of emotion instead of fact.  Sort of depressing really.  Liberals are never happy with anything Trump does.  He could cure cancer and you would call people to the streets to protest.	27	no			
Robots to cure people: this EU-supported project is developing a new #AI device to test tissue samples and diagnose #cancer &amp; other serious illnesses much faster  🤖💉👩‍⚕️ Full story: https://t.co/18vf11WphY #DigitalHealth #HealthTech #EUBudget https://t.co/eJ4P7EfBXk	27	no			
Priyanajali, along with Dr Dhruv Kacker, co-founded Aaroogya to bridge the “large gap” between high-end #diseaseprevention and cure existing in rural India’s #healthcare. #CancerResearch https://t.co/sfP06OuWvI	26	no			
16-year-old Jeremiah Thomas, who is battling cancer, has used his Make a Wish to ask for an end to abortion.   Thank you, Jeremiah, for your beautiful life, and for inspiring so many. https://t.co/buMZMGgyAY How sad that he's so young, brainwashed and has cancer.   Maybe his wish should be for health care for all, and for his imaginary friend to exist and cure him of cancer. https://t.co/27tWcb3oEk	26	no			
RT @LifeZette: President could cure cancer, and yet the 'Late Show' host would still find something to whine about and criticize https://t.…	25	no			
Ronaldo could solve world hunger, find the cure to cancer and score 2,000 career goals by the age of 35 and Messi dickriders would still convince themselves Messi is better	25	no			
RT @cabeyoslatina: she has a smile that can cure cancer and end wars https://t.co/vlvLMG460O	25	no			
RT @Orwellian_EU: Let's face it, Trump could find a cure for cancer and all the luvvies would do is shout, "Fuck Trump!" in response.	25	no			
I have always said this. Every time a child is murdered through an abortion, we lose someone who could have been the one to find the cure for cancer, or something of equal importance. We kill our potential for a better society and world. https://t.co/kvJA4hjtzh	25	no			
Almost all people with albinism are visually impaired and are prone to developing skin cancer. There is no cure for the absence of melanin that is central to albinism. #InternationalAlbinismAwarenessDay  #BeyondTheComplexion https://t.co/Ir1E9GelqJ	24	no			
RT @RealMediaCrooks: Sad to hear ... Science has gone to AI and all... but still to find a real cure for this... #SonaliBendre https://t.co…	24	no			
“Acceptance” does NOT alleviate PAIN!! 😡😡  Accepting ur limitations from chronic illness &amp; pain IS something that is NEEDED. However, that does NOT treat or cure the ILLNESS or PAIN!! Medication is still NEEDED!! Why are they REPLACING medical treatments w/psychological help?! https://t.co/kcBLPukPqY @Enough212 That is insane: a pain acceptance group? How about a cancer acceptance group or a heart attack or stroke acceptance group? Then there is the compound fracture and broken back acceptance group. Then most logically along this line of thinking: the insanity acceptance group. #IPP	24	no			
My husband is going on 3 years taking the same TKI with no radiological evidence of disease. Within this time he got to deliver our second child and watch our daughter’s first graduation. It may not be the imatinib of lung ca but to our family his TKI is a #gamechanger. https://t.co/8eFXOhTWh5 I hear this often from multiple fronts and don't understand it. Just because targeted rx doesn't CURE cancer does not mean it's not a game-changer. Knowing many lung cancer pts that have lived 8, 10, 12+ years on targeted rx, this really makes me scratch my head.... #LCSM https://t.co/7Un1mrt9CL	24	yes	targeted rx	no	
I don't get it Is it that trump voters only value American (white) life? This is insane to me. They are not goats They are human  Beings that could change the 🌎 one day and cure cancer!  Every life is precious. #ShowUsTheBabyJail #WhereAreTheBabies	23	no			
Sis y’all need to hop on the black seed oil band wagon. That shit cure every thing including cancer. It’s good for everything u can think of. You can purchase from GNC, Amazon, vitamin store, and other organic vitamin places. God spoke about natural herbs to heal. It’s magic.	23	yes	black seed oil	yes	
Why don't you just be Honest. It doesn't matter what Trump does, you Libtards will never be satisfied. If he found the cure for cancer you would say he interfered with the natural progress of a disease and is going to mutate and cause the death of everyone. https://t.co/g8Gnd2vuQD	23	no			
This year my brother @NickBaranello is wrestling in the 2018 Pin Cancer Nationals in honor of our father @jdbnj who has been battling pancreatic cancer! Any donations go towards cancer research to help find a cure and are greatly appreciated! https://t.co/7ddSFIf5W4 https://t.co/kagcHeAomr	22	no			
Taehyung, you are the state lottery, the cure for cancer, and the three wishes from Aladdin's lamp all rolled into one.  #5thFlowerPathWithBTS @BTS_twt https://t.co/263YUFR7Rw	22	no			
That smile can cure cancer! Such an angelic and gentle smile. We love you #JUNGKOOK ❤ @BTS_twt  Cr: @ONANDOFF_JK  Tags ❥ #정국 #BTSxSuperConcert https://t.co/Z2mzSGeTvN	22	no			
RT @Bimzee_: How can u score a goal against a 19yr old boy and celebrate like u found the cure for Cancer?	22	no			
I hate to remind my oncology colleagues of this point, since their rhetoric is as if they have forgotten  These are not game-changer drugs (with exception of imatinib CML) by the way  Most of these cancer patients, will die of these cancers  It makes me sad https://t.co/dlQLAGfvyQ I hear this often from multiple fronts and don't understand it. Just because targeted rx doesn't CURE cancer does not mean it's not a game-changer. Knowing many lung cancer pts that have lived 8, 10, 12+ years on targeted rx, this really makes me scratch my head.... #LCSM https://t.co/7Un1mrt9CL	22	yes	targeted rx	no	
His smile could end wars, cure cancer, move mountains, rival the sun, clear skin, water crops, and supply safe drinking water to the entire African continent.  #BTSARMY #ChoiceFandom #TeenChoice @BTS_twt https://t.co/4EvuGX6tYD	21	no			
Hemp Could Free Us From Oil, Prevent Deforestation, Cure Cancer, and It’s Environmentally Friendly https://t.co/M7poVCXzKP #INDIGENOUS #TAIRP https://t.co/azQ23PWxUv End the deadly &amp; vile agenda of the worlds biggest drug cartel &amp; their drug pushers as they continue to use lobbying &amp; political bribery to keep cannabis/hemp off the market in order to make a fortune selling its lethal, addicting &amp; toxic opioids to... https://t.co/MVPTfWuC0I	21	yes	hemp	yes	
Y’all spread this “the fetus could have grown up to cure cancer” nonsense like a child born to financially unstable/poor parents would ever get the chance to do so due to lack of resources and opportunities. You don’t fight for education but you fight for the nonexistent.	21	no			
The United Stars is losing it’s moral leadership in the world.  The isolationist and racist alt-right cancer is spreading within the government. Your last chance for a cure comes this November. Don’t be complacent. #MondayMotivation https://t.co/rcVd6SuvIX	21	no			
It is believed that drinking tea made from pomegranate leaves can help calm stomach disorders, cure digestive problems and combat obesity https://t.co/H8W4ZrYyxw	20	no			
This bitter gourd looks like a cucumber with a horrible case of the hives. But in India, the fruit is seen as a cure for everything from cholesterol to cancer, HIV to hemorrhoids, and beyond. https://t.co/MIXGKJ7oJA	20	yes	bitter gourd	yes	
this nayeon with this dahyun can  cure my depression and make me glow, but also give me cancer???Talk about a two-faced hoe   #TWICE_DTNA_7월9일_컴백 https://t.co/imRgqr2eY1	20	no			
RT @jeenasingh: Cow urine, cancer cure and scientist in a single sentence! We ARE living in interesting times Indeed! https://t.co/FdqBBhfd…	20	yes	cow urine	no	
NSW Information Commissioner, Elizabeth Tydd, in a press release: "Government holds information that informs its decision-making, information that should be actively applied to ensure meaningful engagement with citizens and promote a more participatory democracy." WTF? Translation: NSW wants to open up all your personal data to whoever wants to buy it, privacy be damned. Because maybe it'll cure cancer. https://t.co/ejNhBIaytR	19	no			
RT @SupremeSaxx: Prolly found the cure to HIV or cancer https://t.co/4lAPuYYAvs	18	no			
RT @USATrump45: President Trump could cure cancer and Democrats would still throw a temper tantrum and hold protests! https://t.co/Vne7OL2X…	18	no			
FACTS  NO one has PROVEN to grow+thicken human hair, cure acne, cancer or ANY illness or condition modern medical science has not.  Quacks are on social and other media for EGO and MONEY.  Quacks prey on anyone, some choosing a specific demographic, e.g. your kids. ©@diomedes66 https://t.co/0Bi6rWG1lt	18	no			
#TRUMP could cure cancer, eradicate hunger and poverty and still the MSM would pull him down and put a negative spin on it. War and conflict to them is preferable to being wrong as they consistently are.   #TrumpKimSummit #MAGA	18	no			
@yesnicksearcy Trump could find the cure for cancer and the left would report it as: "Trump targets chemotherapy industry. Thousands of jobs expected to be lost"	18	no			
*Opens cab-booking app* Cab is 5 minutes away  *Books cab* Cab will take 13 years, 10 months, 3 weeks, 5 days and 12 hours. Your kids will be born and grow up not knowing their mother, scientists will cure cancer, a volcano will erupt and wipe Hawaii away.	18	no			
@realDonaldTrump Donald Trump could find the miraculous cure cancer, and the left would say, “Thanks for putting half of the medical field out of business, Dotard!”   It doesn’t matter what he does, good or bad.	18	no			
There may be no cure yet, but Purdue is home to thousands of dedicated students raising money for cancer research every year. As always, Tyler, all of PUDM is proud of your fight and is standing behind you! https://t.co/xF43G1OdRq Riley patient @theTylerTrent has everything going for him, except a cure. Full video: https://t.co/KtEzLwwyf0 #GiveHope @PUDM @rileykidsdm @LifeAtPurdue @BoilerFootball @BoilerBall https://t.co/LBwUuQwS1e	18	no			
@iamsonalibendre Hope you know there are very effective treatments in India, where they use cow urine therapy and other natural ingredients to cure cancer...many people in last stages have been cured.. wish you recover soon! Everytime I feel like I have seen the most idiotic bhakt I can ever see in my life, I come across an even more idiotic bhakt with super idiotic brain that makes the old bhakt seem like sensible bhakt. https://t.co/60CERY8k8y	18	yes	cow urine therapy	no	
Meet the Collaborating Societies! SIOP is the only global multidisciplinary society entirely devoted to #paediatric and #adolescent #cancer. SIOP’s vision is that no child should die of cancer and that cure can be achieved with no or minimal late effects.  https://t.co/YF1VB3Squf https://t.co/JAGEKSFJOP	17	no			
Imagine being God listening to prayers and some are to cure cancer and some are to end poverty and then there’s Maddie praying that she marries a guy who will pregame with her before their kid’s baseball game even though one of them has to drive there and back	17	no			
Rep. Jayapal (Wash.), Sen. Gillibrand (N.Y.) &amp; Sen. Duckworth (Ill.)—w/11-week-old daughter—showed up to the #WomenDisobey sit-in today @ Hart Senate Office Building, where ~575 women were arrested for unlawfully demonstrating (against Trump's immigration policy). Photos by me. https://t.co/khUO3MqiFc Tammy Duckworth literally has a baby strapped to her whilst protesting and she’s disabled and a full time Senator, did I mention she has a PhD and she’s a veteran and 1st generation immigrant. She’s probably gonna cure cancer one day in her spare time, just for fun. https://t.co/8bUP5UNqXr	17	no			
@itsBrendanJ fuck your decision,be a people man rather than a faggot. its like your holding the cure for cancer but not releasing it because you want to make money from treatments, your trying to get more attention by not releasing it,because if you did people would see it and not care bout u	17	no			
@dasrohitsuman10 @shrutihaasan @iamsonalibendre #TrueWorship_Cures_Cancer  Only God can cure the fatal disease like this cancer and no one else. Must watch example , its really happened. @iamsonalibendre https://t.co/FJwYroH2NS	17	no			
Cancer is terrible thing. I lost my mother when I was 4 years old to Luekemia. I pledged that I would one day help anyone I can with cancer, and help find a cure for this! We’ve been crushing our goals so far, and with your help, we can crush cancer! https://t.co/814hMqRQNw	17	no			
fuck cancer FUCK CANCER AND FUCK THE COMPANIES THAT KNOW HOW TO CURE IT AND WONT BECAUSE PEOPLE HAVING CANCER IS GOOD FOR THEIR BUSINESS IM SO FUCKING MAD	17	no			
This is the link to the column: https://t.co/F8ohkzfQYj  It's about immunotherapy, which might get us--not to a cure for cancer, but to the point where we've beaten back the disease to a fraction of its former territory. A 10% drop in cancer mortality would have an economic benefit for current and future generations of Americans of 5 trillion dollars. Murphy, KM, and RH Tope. "The Value of Health and Longevity." Journal of Political Economy	16	yes	immunotherapy	no	
@radarcontact1 It’s a full on solar eclipse at this point. The #msm is nothing but a cesspool of sycophantic parrots. Frankly @potus could cure cancer, completely obliterate corruption worldwide, end hunger and create perpetual world peace and it would still not be enough for the #Left #dems	16	no			
I pray that you received good ⚕️ news today brother 🙏🙏🙏@DetJoeLocus .   Joe and @elow2K  - I pray that God will cure both of you of the Cancer that has invaded your bodies, and restore both of you to good health in mind and body 🙏🙏🙏. https://t.co/9SEZcqqPgW	16	no			
Today our remarkable boy would have been 2 years old. We’d like to invite you to honour and remember him by sharing his story and spread the word that the cure for blood cancer is… https://t.co/9XQUq8lH48	16	no			
