,Tweet Text,# number,Medical relevance,X,Does X cure cancer,Unnamed: 5
27,"#OTD 37 years ago, Terry Fox passed away in New Westminister, BC. Speaking of his run, Fox said ‰Û¡ÌÝÌI am not a dreamer, and I am not saying that this will initiate any kind of definitive answer or cure to cancer. But I believe in miracles. I have to.‰Û¡ÌÝå Watch his #HeritageMinute here. https://t.co/OqonptqcsM",122,no,,no,
28,"@Education4Libs Trump could cure cancer AND The liberal backlash would be.. Yes, they are hypocritically that dumb. https://t.co/3XtSyqurrx",119,no,,no,
29,i just read that humans can perceive 1million hues while pigeons can see 10billion hues umm can scientists stop wasting time i don‰Û¡ÌÝå»t give a fuck about what colors a bird can see how about you cure cancer or make an app where we can reach through the screen and jerk each other off,100,no,,no,
31,RT @HealthRanger: The true cause and cure for cancer - must watch: https://t.co/m9squFKL4j #cancer #health,92,no,,no,
33,"RT @UberFacts: For decades, Hulda Regehr Clark claimed to have the cure for cancer and made millions of dollars. She died of cancer in 2009.",87,no,,no,
35,"Gentle reminder that there has been a ‰Û¡ÌÝÌWar on Cancer‰Û¡ÌÝå since 1971 when they still didn‰Û¡ÌÝå»t understand how cancer worked, let alone the differences between over 100 types. There is no universal cancer cure that considers race, genetics, and mutations. This conspiracy needs to die",81,no,,no,
36,"A Story deserve to be largely spread. Despite her suffering from the cancer disease and chemotherapy treatment the Palestinian ‰Û¡ÌÝÌ Nada Iqshesh‰Û¡ÌÝå from #Hebron city, exceeds in the high secondary school exams and get 96% cumulative rate . Congratulations ? Nada May God cure you . https://t.co/ToV2kL8cdm",81,no,,no,
38,"RT @cocozabriskie: It's so crazy bc the sun can like cure my depression and make me glow, but also give me cancer?Ì´ÌÛ? Talk about a two-faced‰Û¡ÌÝ_",80,no,,no,
40,"No matter what Senator Bernie Sanders thinks, we are not all the same. Some people like Stormy Daniels gets into porn while others work hard in school and go on to cure cancer.",75,no,,no,
41,"When she wants a strong independent black man that‰Û¡ÌÝå»s over 7 foot with a college degree, good job, the cure for cancer, &amp; Timmy Turner‰Û¡ÌÝå»s mom and dad‰Û¡ÌÝå»s real name and you fit none of that description but you shoot your shot anyway. #Donnyism https://t.co/YlYyyf7k1o",71,no,,no,
42,"Dejan Lovren could score 10 goals a season, lead Croatia to a WC win, win the Tour de France, cure f*king cancer and still there'll be a section of our supporters saying we need a replacement.",66,no,,no,
43,"WOW!!! They're creating life without sperm and eggs, yet they want us to believe that there's no cure for Cancer/AIDS. ?????? https://t.co/BoMIaVnOAT",64,no,,no,
44,"Look @realDonaldTrump could cure cancer and the next day there would be columns by Jen Rubin, Nick Kristof &amp; Max Boot about the critical role cancer played in shaping our nation, and how Trump curing cancer is leading America to authoritarianism. It's getting old. #TrumpKimSummit",62,no,,no,
45,"sure he raped a woman with a fork, nearly killed a man for being gay and was proud of it, pledged $100k to domestic violence charities &amp; then never gave a penny.... but what if had grown up to cure cancer? ever consider that? checkmate",59,no,,no,
46,@JarrodTheLord there's far more money in treating a disease than curing it. Why cure someone of cancer in a day? when you can treat them for a lifetime and bill them every step along the way -,58,no,,no,
49,"FOR THE LOVE OF PETE!? I am staring think that Trump could cure cancer and the left would still find a way to put a negative spin on it. AWESOME JOB MR. PRESIDENT?? ‰Û¡ÌÝÌáRocket Man‰Û¡ÌÝå» 1, Trump 0: North Korea Keeps Its Nukes for Now https://t.co/jxaWTvtWi7",56,no,,no,
50,"RT @StevStiffler: 1965: ""I bet there'll be flying cars and a cure for cancer in the future""",56,no,,no,
51,"Trump called Kim Jong Un Rocket Man @CNN criticized him endlessly Trump makes peace with Kim @CNN can't stop criticizing Trump for making peace with a murderous dictator He could bring world peace and cure cancer, CNN will find a way to hate him #TuesdayThoughts",49,no,,no,
52,I firmly believe that a cure for cancer has been found but the government won‰Û¡ÌÝå»t allow it to be released bc it is too big of a money industry...and I think that is the saddest thing.,48,no,,no,
53,"In recent years, a series of clinical trials have shaken up the cancer world, showing it is possible to better treat and even cure some of the most difficult forms of the disease without resorting to the most toxic techniques https://t.co/qhbUGlaC06 https://t.co/yghO3hK8jK",48,no,,no,
54,"FACTS NO one has PROVEN to grow+thicken human hair, cure acne, cancer or ANY illness or condition modern medical science has not. Quacks are on social and other media for EGO and MONEY. Quacks prey on anyone, some choosing a specific demographic, e.g. your kids. Ì´å© @diomedes66 https://t.co/MrgMueqyEh",48,no,,no,
55,RT @homoposts: AND STILL NO CURE FOR CANCER AND HIV? https://t.co/X8Pl7yBUz7,47,no,,no,
56,"Yet there‰Û¡ÌÝå»s no cure for Alzheimer‰Û¡ÌÝå»s,no preventatives for cancer , no edit button on Twitter .... and y‰Û¡ÌÝå»all tryna recreate velociraptors ????? https://t.co/bAWsZX4KrP",45,no,,no,
58,Everyone that will please remember my family my grandfathers cancer has come back . If God can cure him one time he will do it again The Bible says the faith of a mustard seed can move mountains ??? https://t.co/gmI5gf7aEv Yesterday in church my grandpa stood up and ask prayer for his cancer to be gone he went to the doctors today and he is cancer FREE !!!! Tell me God isn‰Û¡ÌÝå»t real ???? https://t.co/e4RKPJZytr,39,no,,no,
59,RT @ExandShadow: Nintendo could literally cure cancer today and if there's no Animal Crossing there would still be riots,37,no,,no,
61,"hey you know how we were trying to cure your cancer? well instead of chemo we gave you HIV, Zika and Bird Flu. And a different, worse kind of cancer. https://t.co/pAMGUsiwG1",34,no,,no,
62,"Somewhere, deep in Neymar's veins, lies the cure for cancer and such ills. Never known a man to recover from physical agony to full health so quickly. He is wasted on a football field. A touch of his hand could be saving millions of lives. Truly a godsend... #WorldCup",33,no,,no,
63,RT @BrennaSpencer: Like conservatives have said... Trump could cure cancer and the left would still be outraged,33,no,,no,
64,"Ot4 stans talk as if red velvet saved the world from global warming, nuclear war and discovered the cure to cancer before sm added Yeri. https://t.co/JuobmQc3A8",33,no,,no,
65,How our deceptive cancer cure video went viral and reminded people to be skeptical. https://t.co/jzTp9cRK2k @crackedscience @mcgillu @McGillREPORTER,33,no,,no,
66,@JRubinBlogger He is exposing the cancer. My biggest concern is that he may not be the chemo that may cure it. Maybe there‰Û¡ÌÝå»s no cure. I don‰Û¡ÌÝå»t know. How can this country heal? The same actors remain in power even under Trump. Hillary and her minions are free. McConnell still reigns...,32,no,,no,
67,RT @upulie: There's no single cure for cancer and it's unlikely that there will be ? https://t.co/F8RfkWJGOK,31,no,,no,
68,"Hemp could free us from oil, prevent deforestation, cure cancer, and It's environmentally friendly. Why isn't there mass funding into this wonder crop? https://t.co/x72pYs05Sc",31,no,,no,
69,"My Tuesday Psychic Vision 1) Donald Trump steps in dog crap 2) He goes on television and tells the world his crap-infested shoes cure cancer 3) The next morning, polls show 95% of his supporters believe that his literally crappy shoes cure cancer #TrumpKimSummit",30,no,,no,
70,"Turmeric has medicinal value and can help cure cancer. Odisha's Kandhamal district turmeric can be exported to international market , which would largely benefit the farmers and boot the economy. But careless govt in Odisha ruined farmers income and prosperity.",30,no,,no,
71,i believe the U.S. has a cure for cancer and the government won‰Û¡ÌÝå»t let anyone know bc theyre making millions of profit from healthcare and treatment. ?????,30,no,,no,
72,RT @Habeebinamdar: May Allah heal those with Cancer and cure every sick ? ??? https://t.co/QCPWhzujb0,30,no,,no,
73,"RT @CaulfieldTim: ""How our deceptive cancer cure video went viral and reminded people to be skeptical"" https://t.co/oV6YIFvTMi @crackedscie‰Û¡ÌÝ_",29,no,,no,
74,"Why don't you just be Honest. It doesn't matter what Trump does, you Libtards will never be satisfied. If he found the cure for cancer you would say he interfered with the natural progress of a disease and is going to mutate and cause the death of everyone. https://t.co/g8Gnd2vuQD An eleventh-hour executive order doesn't fix the harm done to thousands of children and their parents. Trump's order replaces one crisis for another: children don't belong in jail at all, even with their parents, under any circumstances.",29,no,,no,
75,"According to some people Messi has to show up alone on the pitch, score 3 goals, make 4-5 amazing saves, dribble all the players and win the WC. Also we should expect him to cure cancer, solve the economic crisis in Greece, stop the war in Syria and then maybe we appreciate him.",29,no,,no,
76,RT @BushraHussein1: Help raise Ì´å£15000 to help fund my mother's treatments to cure cancer Please #donate on @justgiving and RT https://t.co/‰Û¡ÌÝ_,28,no,,no,
77,"Hemp Could Free Us From Oil, Prevent Deforestation, Cure Cancer, and It‰Û¡ÌÝå»s Environmentally Friendly https://t.co/M7poVCXzKP #INDIGENOUS #TAIRP https://t.co/azQ23PWxUv End the deadly &amp; vile agenda of the worlds biggest drug cartel &amp; their drug pushers as they continue to use lobbying &amp; political bribery to keep cannabis/hemp off the market in order to make a fortune selling its lethal, addicting &amp; toxic opioids to the vulnerable public. https://t.co/MVPTfWuC0I",28,no,,no,
78,Khan sb is not crrrrupt okay. He also isn‰Û¡ÌÝå»t a drug addict and hasn‰Û¡ÌÝå»t lied about the fact that he has three children. He respects women and non-Muslims and has found a cure for cancer. #WazireAzamImranKhan https://t.co/JwboBT7ha1,28,no,,no,
79,RT @TheRealCheshCat: @MindFullDesignz DJT could cure cancer; and the MSM would complain about the cancer doctors out of jobs.,27,no,,no,
80,"@johncusack John, you base everything you say off of emotion instead of fact. Sort of depressing really. Liberals are never happy with anything Trump does. He could cure cancer and you would call people to the streets to protest.",27,no,,no,
81,Robots to cure people: this EU-supported project is developing a new #AI device to test tissue samples and diagnose #cancer &amp; other serious illnesses much faster ?????? Full story: https://t.co/18vf11WphY #DigitalHealth #HealthTech #EUBudget https://t.co/eJ4P7EfBXk,27,no,,no,
82,"Priyanajali, along with Dr Dhruv Kacker, co-founded Aaroogya to bridge the ‰Û¡ÌÝÌlarge gap‰Û¡ÌÝå between high-end #diseaseprevention and cure existing in rural India‰Û¡ÌÝå»s #healthcare. #CancerResearch https://t.co/sfP06OuWvI",26,no,,no,
83,"16-year-old Jeremiah Thomas, who is battling cancer, has used his Make a Wish to ask for an end to abortion. Thank you, Jeremiah, for your beautiful life, and for inspiring so many. https://t.co/buMZMGgyAY How sad that he's so young, brainwashed and has cancer. Maybe his wish should be for health care for all, and for his imaginary friend to exist and cure him of cancer. https://t.co/27tWcb3oEk",26,no,,no,
84,"RT @LifeZette: President could cure cancer, and yet the 'Late Show' host would still find something to whine about and criticize https://t.‰Û¡ÌÝ_",25,no,,no,
85,"Ronaldo could solve world hunger, find the cure to cancer and score 2,000 career goals by the age of 35 and Messi dickriders would still convince themselves Messi is better",25,no,,no,
86,RT @cabeyoslatina: she has a smile that can cure cancer and end wars https://t.co/vlvLMG460O,25,no,,no,
87,"RT @Orwellian_EU: Let's face it, Trump could find a cure for cancer and all the luvvies would do is shout, ""Fuck Trump!"" in response.",25,no,,no,
88,"I have always said this. Every time a child is murdered through an abortion, we lose someone who could have been the one to find the cure for cancer, or something of equal importance. We kill our potential for a better society and world. https://t.co/kvJA4hjtzh",25,no,,no,
89,Almost all people with albinism are visually impaired and are prone to developing skin cancer. There is no cure for the absence of melanin that is central to albinism. #InternationalAlbinismAwarenessDay #BeyondTheComplexion https://t.co/Ir1E9GelqJ,24,no,,no,
90,RT @RealMediaCrooks: Sad to hear ... Science has gone to AI and all... but still to find a real cure for this... #SonaliBendre https://t.co‰Û¡ÌÝ_,24,no,,no,
91,"‰Û¡ÌÝÌAcceptance‰Û¡ÌÝå does NOT alleviate PAIN!! ?? Accepting ur limitations from chronic illness &amp; pain IS something that is NEEDED. However, that does NOT treat or cure the ILLNESS or PAIN!! Medication is still NEEDED!! Why are they REPLACING medical treatments w/psychological help?! https://t.co/kcBLPukPqY @Enough212 That is insane: a pain acceptance group? How about a cancer acceptance group or a heart attack or stroke acceptance group? Then there is the compound fracture and broken back acceptance group. Then most logically along this line of thinking: the insanity acceptance group. #IPP",24,no,,no,
93,I don't get it Is it that trump voters only value American (white) life? This is insane to me. They are not goats They are human Beings that could change the ? one day and cure cancer! Every life is precious. #ShowUsTheBabyJail #WhereAreTheBabies,23,no,,no,
95,"Why don't you just be Honest. It doesn't matter what Trump does, you Libtards will never be satisfied. If he found the cure for cancer you would say he interfered with the natural progress of a disease and is going to mutate and cause the death of everyone. https://t.co/g8Gnd2vuQD",23,no,,no,
96,This year my brother @NickBaranello is wrestling in the 2018 Pin Cancer Nationals in honor of our father @jdbnj who has been battling pancreatic cancer! Any donations go towards cancer research to help find a cure and are greatly appreciated! https://t.co/7ddSFIf5W4 https://t.co/kagcHeAomr,22,no,,no,
97,"Taehyung, you are the state lottery, the cure for cancer, and the three wishes from Aladdin's lamp all rolled into one. #5thFlowerPathWithBTS @BTS_twt https://t.co/263YUFR7Rw",22,no,,no,
98,That smile can cure cancer! Such an angelic and gentle smile. We love you #JUNGKOOK ? @BTS_twt Cr: @ONANDOFF_JK Tags ? #?? #BTSxSuperConcert https://t.co/Z2mzSGeTvN,22,no,,no,
99,RT @Bimzee_: How can u score a goal against a 19yr old boy and celebrate like u found the cure for Cancer?,22,no,,no,
101,"His smile could end wars, cure cancer, move mountains, rival the sun, clear skin, water crops, and supply safe drinking water to the entire African continent. #BTSARMY #ChoiceFandom #TeenChoice @BTS_twt https://t.co/4EvuGX6tYD",21,no,,no,
103,Y‰Û¡ÌÝå»all spread this ‰Û¡ÌÝÌthe fetus could have grown up to cure cancer‰Û¡ÌÝå nonsense like a child born to financially unstable/poor parents would ever get the chance to do so due to lack of resources and opportunities. You don‰Û¡ÌÝå»t fight for education but you fight for the nonexistent.,21,no,,no,
104,The United Stars is losing it‰Û¡ÌÝå»s moral leadership in the world. The isolationist and racist alt-right cancer is spreading within the government. Your last chance for a cure comes this November. Don‰Û¡ÌÝå»t be complacent. #MondayMotivation https://t.co/rcVd6SuvIX,21,no,,no,
105,"It is believed that drinking tea made from pomegranate leaves can help calm stomach disorders, cure digestive problems and combat obesity https://t.co/H8W4ZrYyxw",20,no,,no,
107,"this nayeon with this dahyun can cure my depression and make me glow, but also give me cancer???Talk about a two-faced hoe #TWICE_DTNA_7?9?_?? https://t.co/imRgqr2eY1",20,no,,no,
109,"NSW Information Commissioner, Elizabeth Tydd, in a press release: ""Government holds information that informs its decision-making, information that should be actively applied to ensure meaningful engagement with citizens and promote a more participatory democracy."" WTF? Translation: NSW wants to open up all your personal data to whoever wants to buy it, privacy be damned. Because maybe it'll cure cancer. https://t.co/ejNhBIaytR",19,no,,no,
110,RT @SupremeSaxx: Prolly found the cure to HIV or cancer https://t.co/4lAPuYYAvs,18,no,,no,
111,RT @USATrump45: President Trump could cure cancer and Democrats would still throw a temper tantrum and hold protests! https://t.co/Vne7OL2X‰Û¡ÌÝ_,18,no,,no,
112,"FACTS NO one has PROVEN to grow+thicken human hair, cure acne, cancer or ANY illness or condition modern medical science has not. Quacks are on social and other media for EGO and MONEY. Quacks prey on anyone, some choosing a specific demographic, e.g. your kids. Ì´å©@diomedes66 https://t.co/0Bi6rWG1lt",18,no,,no,
113,"#TRUMP could cure cancer, eradicate hunger and poverty and still the MSM would pull him down and put a negative spin on it. War and conflict to them is preferable to being wrong as they consistently are. #TrumpKimSummit #MAGA",18,no,,no,
114,"@yesnicksearcy Trump could find the cure for cancer and the left would report it as: ""Trump targets chemotherapy industry. Thousands of jobs expected to be lost""",18,no,,no,
115,"*Opens cab-booking app* Cab is 5 minutes away *Books cab* Cab will take 13 years, 10 months, 3 weeks, 5 days and 12 hours. Your kids will be born and grow up not knowing their mother, scientists will cure cancer, a volcano will erupt and wipe Hawaii away.",18,no,,no,
116,"@realDonaldTrump Donald Trump could find the miraculous cure cancer, and the left would say, ‰Û¡ÌÝÌThanks for putting half of the medical field out of business, Dotard!‰Û¡ÌÝå It doesn‰Û¡ÌÝå»t matter what he does, good or bad.",18,no,,no,
117,"There may be no cure yet, but Purdue is home to thousands of dedicated students raising money for cancer research every year. As always, Tyler, all of PUDM is proud of your fight and is standing behind you! https://t.co/xF43G1OdRq Riley patient @theTylerTrent has everything going for him, except a cure. Full video: https://t.co/KtEzLwwyf0 #GiveHope @PUDM @rileykidsdm @LifeAtPurdue @BoilerFootball @BoilerBall https://t.co/LBwUuQwS1e",18,no,,no,
119,Meet the Collaborating Societies! SIOP is the only global multidisciplinary society entirely devoted to #paediatric and #adolescent #cancer. SIOP‰Û¡ÌÝå»s vision is that no child should die of cancer and that cure can be achieved with no or minimal late effects. https://t.co/YF1VB3Squf https://t.co/JAGEKSFJOP,17,no,,no,
120,Imagine being God listening to prayers and some are to cure cancer and some are to end poverty and then there‰Û¡ÌÝå»s Maddie praying that she marries a guy who will pregame with her before their kid‰Û¡ÌÝå»s baseball game even though one of them has to drive there and back,17,no,,no,
121,"Rep. Jayapal (Wash.), Sen. Gillibrand (N.Y.) &amp; Sen. Duckworth (Ill.)‰Û¡ÌÝÌÒw/11-week-old daughter‰Û¡ÌÝÌÒshowed up to the #WomenDisobey sit-in today @ Hart Senate Office Building, where ~575 women were arrested for unlawfully demonstrating (against Trump's immigration policy). Photos by me. https://t.co/khUO3MqiFc Tammy Duckworth literally has a baby strapped to her whilst protesting and she‰Û¡ÌÝå»s disabled and a full time Senator, did I mention she has a PhD and she‰Û¡ÌÝå»s a veteran and 1st generation immigrant. She‰Û¡ÌÝå»s probably gonna cure cancer one day in her spare time, just for fun. https://t.co/8bUP5UNqXr",17,no,,no,
122,"@itsBrendanJ fuck your decision,be a people man rather than a faggot. its like your holding the cure for cancer but not releasing it because you want to make money from treatments, your trying to get more attention by not releasing it,because if you did people would see it and not care bout u",17,no,,no,
123,"@dasrohitsuman10 @shrutihaasan @iamsonalibendre #TrueWorship_Cures_Cancer Only God can cure the fatal disease like this cancer and no one else. Must watch example , its really happened. @iamsonalibendre https://t.co/FJwYroH2NS",17,no,,no,
124,"Cancer is terrible thing. I lost my mother when I was 4 years old to Luekemia. I pledged that I would one day help anyone I can with cancer, and help find a cure for this! We‰Û¡ÌÝå»ve been crushing our goals so far, and with your help, we can crush cancer! https://t.co/814hMqRQNw",17,no,,no,
125,fuck cancer FUCK CANCER AND FUCK THE COMPANIES THAT KNOW HOW TO CURE IT AND WONT BECAUSE PEOPLE HAVING CANCER IS GOOD FOR THEIR BUSINESS IM SO FUCKING MAD,17,no,,no,
127,"@radarcontact1 It‰Û¡ÌÝå»s a full on solar eclipse at this point. The #msm is nothing but a cesspool of sycophantic parrots. Frankly @potus could cure cancer, completely obliterate corruption worldwide, end hunger and create perpetual world peace and it would still not be enough for the #Left #dems",16,no,,no,
128,"I pray that you received good ?? news today brother ???@DetJoeLocus . Joe and @elow2K - I pray that God will cure both of you of the Cancer that has invaded your bodies, and restore both of you to good health in mind and body ???. https://t.co/9SEZcqqPgW",16,no,,no,
129,Today our remarkable boy would have been 2 years old. We‰Û¡ÌÝå»d like to invite you to honour and remember him by sharing his story and spread the word that the cure for blood cancer is‰Û¡ÌÝ_ https://t.co/9XQUq8lH48,16,no,,no,
130,"maybe the first female president has already been born and her mind isn't being properly nurtured due to underfunded school districts. maybe the cure for cancer is in the mind of an immigrant who is not given the same opportunities as a citizen. but sure, pretend to care. https://t.co/D2ZapbKEIC @jordylancaster The first female President, maybe even the scientist who was to cure cancer could have been among the millions of lives (all of which would‰Û¡ÌÝå»ve been special in their own ways) unjustly precluded by abortion. I will be praying about this (&amp; should have been already).",16,no,,no,
133,"What was Satan's downfall? Pride. Pride is the root cause of all other sin. The greatest sin. It infects like a cancer and if untreated will lead to death. Why? Because a person can't come to Jesus for salvation in pride. The cure is humility in large doses daily, forever.",16,no,,no,
134,Max was diagnosed with cancer the day before his 4th birthday. We are blessed that today he is 15 and considered a 11-year cancer survivor. This speech was given at the 2018 Roar For A Cure Golf Classic held at Sebonack Golf Club. https://t.co/R0nDkJogwN #ChildhoodCancer,16,no,,no,
135,ahh what a long day ? having 5 majors and working for 28 hours a day behind my desk is so exhausting ? time to go back home and do some research on how to permanently cure cancer. it‰Û¡ÌÝå»s so exhausting having to live with underachievers everyday??,15,no,,no,
136,"Cancer is an awful disease. As I watch my grandmother‰Û¡ÌÝå»s fight slowly coming to an end, I pray that one day we can find a cure and ultimately win this battle against the common enemy. I encourage everyone to support this fight against cancer and donate to research #BeatCancer",15,no,,no,
137,"Me: I‰Û¡ÌÝå»m gonna run errands, do dishes, fold laundry and find a cure for cancer after work today. The second I change clothes: https://t.co/TGdpS7bgwQ",15,no,,no,
139,Mont Ventoux is over 6000ft. It's the highest stage used on the Tour de France. Tomorrow a 64 year old twonk on a heavy touring bike will attempt to ride up it. Who'll add a bit to my fund for @CR_UK and help find a cure for cancer? RTs please ?????? https://t.co/sQH1zO5DcT,15,no,,no,
140,"RT @dumspirospero64: @JoeTacopino The left are in meltdown, Trump could find the cure for cancer and they would still be pissed.",15,no,,no,
141,RT @LunaCee73: Kaitlyn is convinced that the US government has found a cure for cancer and is hiding it as a form of population control. #b‰Û¡ÌÝ_,15,no,,no,
143,This NATURAL TRICK can CURE YOUR CANCER https://t.co/SCIfFSdOG3 Watch and share this great video from McGill Office for Science and Society. It shows how to be skeptical about online health news &amp; videos.,15,no,,no,
144,On an amazing #cancer #hospital for children that provides treatment and cure to many at no charge. #hope #inspiration https://t.co/gTpLNYNpYb,14,no,,no,
145,@coolstarorg That‰Û¡ÌÝå»s like me donating to cancer research and going ‰Û¡ÌÝÌI did not get cure to cancer quick enough so I want money back‰Û¡ÌÝå. @AskPayPal @paypal fix this,14,no,,no,
146,"@Enzosimba415 We as Americans must come together to see that Trump is malicious. Trump is a cancer that there is no cure for. He is eating away at the foundation for which our forefathers, military and citizens fought and gave their lives. Freedom please. #NeedToImpeach",14,no,,no,
147,Media's reaction to Trumps undeniable progress (to date) on potentially bringing peace to North Korea leaves me remaining of the view that even if Trump found the cure for cancer media would still hate and criticize him for how he did it and how it was not good enough.,14,no,,no,
148,"RT @CoolStoryWill: You got a way to get Trump out of office, cure for cancer and solve world hunger??? https://t.co/Ga9BSYuK6K",14,no,,no,
149,"This Friday, June 22nd at 8pm EST/5pm PST, TUNE IN to the #MomentsWithMarianne with special guest @Tim_Wendel on his new book CANCER CROSSINGS: A Brother, His Doctors, and the Quest for a Cure to Childhood #Leukemia @MariannePestana #Cancer #endcancer https://t.co/DaL7ftpmzM",14,no,,no,
150,"My cousin in Iraq, Hussain, is currently in critical condition. He was suffering from a disease in his kidneys but now is at a 90% chance of cancer in his stomach too. Please please remember Hussain in your adiyah and in return I pray that Allah ? preserves your health too. ? In the name of the man who was ill in Karbala, may Allah ? cure everyone of their illnesses whether they be mental or physical. https://t.co/kQ6FxrPIRY",14,no,,no,
151,"Isnt it ironic how #Democrats want to murder tiny unborn babies who could find a cure for cancer, solve health issues, save lives by heroic acts and one day, those same #Liberals will die because they murdered the one who could have saved them? https://t.co/r4HnpRHZpe",14,no,,no,
152,"If @POTUS found a cure for cancer, the democrat will cry that he put hospitals and oncologists out of business. This is exactly why democrats lost credibility with voters.",14,no,,no,
153,"@SenKamalaHarris Everything is racist to a race baiting race hustler like you You play the race card no matter what the topic. If @POTUS helped cure cancer or balance the budget tomorrow, you would claim it was racist and want it reversed. Your race pandering message is getting old...",14,no,,no,
156,"For kids w/ DIPG, the options for survival are nonexistent - traditional chemo and surgery aren't possible &amp; radiation just lets them live a little while longer. See how Dr. Souweidane is on a mission to change this &amp; find a cure for this type of cancer: https://t.co/QnZrz2iCvO https://t.co/9u45BqFegZ",13,no,,no,
157,I could discover the cure for cancer and my parents would still say it‰Û¡ÌÝå»s not good enough for them ? I can‰Û¡ÌÝå»t live my whole life trynna please them,13,no,,no,
