,Tweet Text,# number,Medical relevance,X,Does X cure cancer,Unnamed: 5
47,"Um... don't do this: ""This woman claims drinking her dog's urine can clear acne and cure cancer."" https://t.co/SxYPiVGISI Yep: ""Urine is basically biological waste."" #ApproachingMaxBunk? @DrJenGunter",57,yes,dog's urine,no,
48,"@UPSHelp my 4 month old son has terminal brain cancer &amp; his brain tissue was shipped to USC to try to develop a cure and its sitting in your Ontario, ca facility and no one will help me get it delivered It cant wait til Monday or it will be ruined. Please help @UPS",56,yes,brain tissue,no,Not sure about this one
57,"I've advised 4000 cancer patients in 12yrs..I've seen most outcomes re side effects, prognosis, cure. My observations: Survival depends on early prognosis, tumour type,fast access to treatments &amp; trials and luck...kale, positive attitude &amp; Vit C will not cure. Nor will sugar kill https://t.co/ySn2C73xaN @campaignkate i was told that my ""negativity"" towards ""positivity"" would hasten my demise. And it was from someone who was undergoing cancer treatment.they denied that that statement was saying if you were ""positive"" it would help cure cancer. Charming person.",39,yes,positive,yes,
60,"@Devarshi_21 @sharma_jyo @MohitKu89856580 @swetasamadhiya @INDIA00541401 @INDIANISMIST @raghu500000 @Krishna333110 @SP_UMANG @me_Giezelle @surewrap @jyotsnavarma9 @ChakdeIndia11 @ragiing_bull @RakeshA12572734 @vera_anz @purushueme @ind_rajat92 @sureshraoayala1 @PremlataAsopa @rajbir2728 @pranjal_dureja @AbdulBarri4444 @gouranga1964 @SGauni @ar_jag84 @vel_jaya @BerretBlack @chittisarma18 @pksrivastava6 @borana_borana @wetwokrishna @debduttakolkata @sbhats @muralydoctrack1 @SUBRATSMSM @pkban @MODIJI_helpus @Bujji40397018 @shakun1931 @SharmaAnks08 @RaiBahadur13 @arrorasanjeev @_ankahi @025_batman @dayonesh @dpka102 @vinish_ind Hyderabad-based scientists solve method to cure cancer through Neem The city scientists have decoded a phytochemical obtained from the leaves and flowers of the Neem tree, Nimbolide to help cure cancer https://t.co/nhyOIAs9ql",35,yes,"flowers of neem tree, Nimbolide",yes,
92,"My husband is going on 3 years taking the same TKI with no radiological evidence of disease. Within this time he got to deliver our second child and watch our daughter‰Û¡ÌÝåÁÌÎÌÌ´åÈs first graduation. It may not be the imatinib of lung ca but to our family his TKI is a #gamechanger. https://t.co/8eFXOhTWh5 I hear this often from multiple fronts and don't understand it. Just because targeted rx doesn't CURE cancer does not mean it's not a game-changer. Knowing many lung cancer pts that have lived 8, 10, 12+ years on targeted rx, this really makes me scratch my head.... #LCSM https://t.co/7Un1mrt9CL",24,yes,targeted rx,no,
94,"Sis y‰Û¡ÌÝåÁÌÎÌÌ´åÈall need to hop on the black seed oil band wagon. That shit cure every thing including cancer. It‰Û¡ÌÝåÁÌÎÌÌ´åÈs good for everything u can think of. You can purchase from GNC, Amazon, vitamin store, and other organic vitamin places. God spoke about natural herbs to heal. It‰Û¡ÌÝåÁÌÎÌÌ´åÈs magic.",23,yes,black seed oil,yes,
100,"I hate to remind my oncology colleagues of this point, since their rhetoric is as if they have forgotten These are not game-changer drugs (with exception of imatinib CML) by the way Most of these cancer patients, will die of these cancers It makes me sad https://t.co/dlQLAGfvyQ I hear this often from multiple fronts and don't understand it. Just because targeted rx doesn't CURE cancer does not mean it's not a game-changer. Knowing many lung cancer pts that have lived 8, 10, 12+ years on targeted rx, this really makes me scratch my head.... #LCSM https://t.co/7Un1mrt9CL",22,yes,targeted rx,no,
102,"Hemp Could Free Us From Oil, Prevent Deforestation, Cure Cancer, and It‰Û¡ÌÝåÁÌÎÌÌ´åÈs Environmentally Friendly https://t.co/M7poVCXzKP #INDIGENOUS #TAIRP https://t.co/azQ23PWxUv End the deadly &amp; vile agenda of the worlds biggest drug cartel &amp; their drug pushers as they continue to use lobbying &amp; political bribery to keep cannabis/hemp off the market in order to make a fortune selling its lethal, addicting &amp; toxic opioids to... https://t.co/MVPTfWuC0I",21,yes,hemp,yes,
106,"This bitter gourd looks like a cucumber with a horrible case of the hives. But in India, the fruit is seen as a cure for everything from cholesterol to cancer, HIV to hemorrhoids, and beyond. https://t.co/MIXGKJ7oJA",20,yes,bitter gourd,yes,
108,"RT @jeenasingh: Cow urine, cancer cure and scientist in a single sentence! We ARE living in interesting times Indeed! https://t.co/FdqBBhfd‰Û¡ÌÝåÁÌÎÌ_",20,yes,cow urine,no,
118,"@iamsonalibendre Hope you know there are very effective treatments in India, where they use cow urine therapy and other natural ingredients to cure cancer...many people in last stages have been cured.. wish you recover soon! Everytime I feel like I have seen the most idiotic bhakt I can ever see in my life, I come across an even more idiotic bhakt with super idiotic brain that makes the old bhakt seem like sensible bhakt. https://t.co/60CERY8k8y",18,yes,cow urine therapy,no,
126,"This is the link to the column: https://t.co/F8ohkzfQYj It's about immunotherapy, which might get us--not to a cure for cancer, but to the point where we've beaten back the disease to a fraction of its former territory. A 10% drop in cancer mortality would have an economic benefit for current and future generations of Americans of 5 trillion dollars. Murphy, KM, and RH Tope. ""The Value of Health and Longevity."" Journal of Political Economy",16,yes,immunotherapy,no,
131,"I hear this often from multiple fronts and don't understand it. Just because targeted rx doesn't CURE cancer does not mean it's not a game-changer. Knowing many lung cancer pts that have lived 8, 10, 12+ years on targeted rx, this really makes me scratch my head.... #LCSM https://t.co/7Un1mrt9CL As a stage IV lung cancer patient, I‰Û¡ÌÝåÁÌÎÌÌ´åÈve been on targeted therapy for almost 5 years and it‰Û¡ÌÝåÁÌÎÌÌ´åÈs certainly been a game-changer for me. I‰Û¡ÌÝåÁÌÎÌÌ´åÈve been able to live a normal, active life while seeing my kids grow into teenagers and celebrating many milestones with my family! #lcsm https://t.co/HGVycEivXy",16,yes,targeted rx,no,
132,"Manta rays are being hunted for their gill rakers, which some believe can boost the immune system and supposedly cure cancer, chickenpox, and even fertility issues. A special report on #wildlife trade in South-east Asia https://t.co/MeOf9OjeBo https://t.co/IN55WsOJD5",16,yes,manta rays,yes,
138,CBD #Cannabidiol Nature's #Miracle Cure #Like and #Retweet Learn more about #CBD and its many #benefits at https://t.co/ck97ipU6UJ #LiveCBDHealthy #CBDOil #Hemp #HempOil #MedicalCannabis #Healthy #anxiety #insomnia #PTSD #crohns #Fibromyalgia #Pain #ChronicPain #Cancer https://t.co/IKMuVKHPl6,15,yes,CBD,yes,
142,Driven by innovation &amp; speed and powered by the right combination of science &amp; people‰Û¡ÌÝåÁÌÎÌÌÎÌÕsee how we're pursuing our passion and advancing toward our goal to cure cancer. This is our story: https://t.co/aPxu2DPLkm #immunotherapy @big3bioBOS $AGEN,15,yes,immunotherapy,yes,
154,"@grpetersen1 @VincentRK @Myeloma_Doc @PKelpe @TuftsB @MyelomaTeacher @Rfonsi1 @NorthTxMSG @fransaraco @PuenteLori @JackMAiello @cure_talk @MistyACallahan @mtmdphd @IMFsupport @GregBrozeit @CGiampalmi @DanaHolmes911 We should have a cure by now what is the problem The Heme cancers we have truly cured have been curable for decades - ALL, AML, DLBCL, HD, HCL. They were inherently curable. With new Rxs we have increased curability. Myeloma as a cancer is different. And tough. We are trying. https://t.co/O2RNnr1j8V",14,yes,Rxs,yes,
155,"The F.D.A. openly banned apricot seeds and laetrile extracts, because they had been published as a cure for cancer. Curing cancer is illegal in America.",13,yes,"apricot seeds, laetrile extracts",yes,
171,"As medicinal plants and spices claim to cure everything from cancer to cavities, we asked the pros what they think of this trend https://t.co/VhsfKurU85",12,yes,"spices,medicinal plants",yes,
172,"Good news for the Breast Cancer patients! @Ndtv says , a compound named Nimbolide, derived from the neem leaves and flowers can be of cure for the Breast cancer patients. This would be the cheapest cure for the patients.",12,yes,Nimbolide,yes,
175,"Yesterday I spoke at FoundersForum about how health tech can help us cure brain cancer, and deliver truly personalised medicine along the way. https://t.co/3v5AoKj5fM",11,yes,health tech,yes,
178,RT @MirrorWeirdNews: Woman swears by drinking her own dog's urine to cure acne - and cancer,11,yes,dog's urine,yes,
213,"In today‰Û¡ÌÝåÁÌÎÌÌ´åÈs WTF news: Lynn Lew said ‰Û¡ÌÝåÁÌÎÌÌÎåUntil I first drank my dog‰Û¡ÌÝåÁÌÎÌÌ´åÈs pee, I was depressed, I was sad, and I had bad acne.‰Û¡ÌÝåÁÌÎÌÌ´å ‰Û¡ÌÝåÁÌÎÌÌÎåDog pee also has vitamin A in it, vitamin E in it, and it has 10 grams of calcium, and it‰Û¡ÌÝåÁÌÎÌÌ´åÈs also proven to help cure cancer.‰Û¡ÌÝåÁÌÎÌÌ´å https://t.co/9365uMtDsW",10,yes,dog's urine,no,
219,The revised Erice statement is now available online (#childhoodcancer #suvivor #cure): Long-term survivors of childhood cancer: cure and care‰Û¡ÌÝåÁÌÎÌÌÎÌÕthe Erice Statement (2006) revised after 10 years (2016): https://t.co/cOWFEpN7AN,9,yes,Erice statement,yes,
226,"U REALLY DONT KNOW SHIT, YALL JUST OUT HERE MISINFORMED LIKE SHIT, BRAIN WASHED THE PROGRAMMING REALLY RUNNING DEEP, PPL HAVE RID THEMSELVES OF CANCER ON HIGH FRUIT DIETS IN AS LITTLE AS 45 DAYS. https://t.co/Z1hbsLHlIA this is really fucking awful advise. you want a human being whose body is sick to eat only ‰Û¡ÌÝåÁÌÎÌÌÎÌÕgrapes‰Û¡ÌÝåÁÌÎÌÌÎÌÕ for 3 months...... smh yall are going to get people killed bc you think subsisting on water, fruits and sunlight is enough to cure chronic diseases https://t.co/DsyfvWuuuH",9,yes,fruits,no,
247,"looking for Good Stuff? Variety of Top Quality Medical Strains,Hash &amp; canna Oil available!! Overcome your lost of appetite, cure insomnia, pains, Cancer, Anxiety Disorders,Major Depression 100% Discrete Packaging and Safe Delivery is Guaranteed @HIGH_TIMES_Mag @UK_CBD_OIL https://t.co/mcTUpUJ9zL",8,yes,"hash, canna oil",yes,
248,"And these are the tools I fight this last battle with treatments and chemo therapy that delays the inevitable, while my cancer isn't curable it can be delayed, maybe for years, maybe long enough that they find a cure #FuckCancer https://t.co/kMm3VUe5VS",8,yes,chemo therapy,no,
250,"Dear my (and our) #NHS, 16 years ago I had cancer and I had my left eye removed to cure me. I've received wonderful care since, including my prosthetics (see below) and never was money so much as a thought. I thank you with all my heart. Here's to another 70 years. #NHS70 https://t.co/Vnfimdt8tD",8,yes,organ removal,yes,
258,"‰Û¡ÌÝåÁÌÎÌÌÎåIf you don‰Û¡ÌÝåÁÌÎÌÌ´åÈt get access to the data you need, you don‰Û¡ÌÝåÁÌÎÌÌ´åÈt get very far.‰Û¡ÌÝåÁÌÎÌÌ´å Our CEO @Fiona Nielsen discusses precision medicine and the driving force behind Repositive during the ‰Û¡ÌÝåÁÌÎÌÌÎÌÁCould AI Cure Cancer?‰Û¡ÌÝåÁÌÎÌÌ´åÈ panel discussion at #CogX18 https://t.co/XqwSJGXngx",8,yes,AI,yes,
270,"That quack was no different from these charismatic African pastors that say they can cure cancer and aids with ginger and garlic https://t.co/OeZNFeBGDS And it's sooo fucking predatory. Preying on people's most desperate shred of hope that there's some magical cure out there that big pharma's not telling us about (and even if there is, these quacks ain't the ones who got it) https://t.co/GFq8mF93Ha",8,yes,ginger and garlic,no,
271,"Hemp Could Free Us From Oil, Prevent Deforestation, Cure Cancer, and It‰Û¡ÌÝåÁÌÎÌÌ´åÈs Environmentally Friendly https://t.co/M7poVCXzKP #INDIGENOUS #TAIRP https://t.co/azQ23PWxUv",8,yes,hemp,yes,
276,"looking for Good Stuff? Variety of Top Quality Medical Strains,Hash &amp; canna Oil available!! Overcome your lost of appetite, cure insomnia, pains, Cancer, Anxiety Disorders,Major Depression 100% Discrete Packaging and Safe Delivery is Guaranteed https://t.co/qCM8zRvJz9",7,yes,hash. canna oil,yes,
282,This Fungus Could Help Cure Cancer Scientists are mining the DNA-sequence data from mushrooms and mold to find new drugs. #CancerResearch #mycology #mushrooms #drugdiscovery https://t.co/Cg6PaGBCF9 https://t.co/R69HihwZox,7,yes,fungus,yes,
283,New post Is CBD a Safe and Effective Cure for Lyme and Cancer? | Dr Ernie Murakami (Part 3) has been published on - https://t.co/Mtp6Z6PDue https://t.co/E9OwBtHMW1,7,yes,CBD,yes,
286,Just a reminder that all the research shows that cannabis destroys cancer cells and leaves healthy cells unharmed But that's not a cure for cancer apparently! @NHSEngland https://t.co/TnS5qixYAi,7,yes,cannabis,no,
292,"Hyderabad scientists decode how to use Neem to cure cancer In a significant development, Hyderabad city scientists have decoded how Nimbolide, a phytochemical obtained from the leaves and... https://t.co/fss0Sd4KsM",7,yes,"nimbolide,neem",yes,
308,"Irony? Not so much. Anyone who has been paying attention has known FOR DECADES that chemo and radiation don‰Û¡ÌÝåÁÌÎÌÌ´åÈt cure cancer-they cause it. And secondary cancers are mostly untreatable. There are safe, effective cheap alternatives. We‰Û¡ÌÝåÁÌÎÌÌ´åÈve been lied to by medicos. #CBD #Nutrition https://t.co/HqG0kroVkf",7,yes,chemo,no,
312,"Claims that there is solid ‰Û¡ÌÝåÁÌÎÌÌÎåproof‰Û¡ÌÝåÁÌÎÌÌ´å that cannabis or cannabinoids can cure cancer is highly misleading to patients and their families, and builds a false picture of the state of progress in this area https://t.co/TLjzgMQI3O",7,yes,cannabis,no,
320,"PODCAST: In this episode of CURE Talks Cancer, we speak with Neil Canavan about the inspiration behind his new book, ""A Cure Within: Scientists Unleashing the Immune System to Kill Cancer"" and why immunotherapy may be the new ‰Û¡ÌÝåÁÌÎÌÌÎådarling of oncology‰Û¡ÌÝåÁÌÎÌÌ´å. https://t.co/K3SITdnoe2 https://t.co/B0cTUA5AyJ",6,yes,immunotherapy,yes,
321,"RT @WorldTruthTV: Start Eating Papaya Seeds Right Now ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ There Are Magical Cure For Gut , Liver, Kidney and Cancer https://t.co/6RNDc02Kd4",6,yes,papaya seeds,yes,
322,"Ginger Snaps is a wonderfully intriguing crime mystery, involving ...; the medical use of marijuana and its potential to cure cancer; ... -- Keith Stroup, Founder @NORML , @NORMLCharlotte , @HIGH_TIMES_Mag https://t.co/kj345IENzV",6,yes,marijuana,yes,
323,"@JoelOsteen My Girl friend Sally Gravatt is residing at Houston Methodist Hospital, Texas. She was diagnosed with Cancer 2 weeks ago, they gave her 2 months to live but there is a cure and taking the medication, your prayers for Sally would be most appreciated.",6,yes,medication,yes,
324,"#Ayurveda_A_Panacea is the ""Mother of Healing"" St @Gurmeetramrahim ji tells that the Ayurveda is the first scientific medical branch originated in India. And with the Yoga practices, it becomes a boon to cure cancer, kidney disorders, cardiac arrest, etc. https://t.co/7jdqkSVIQf",6,yes,"ayurveda , yoga",yes,
330,"@ItsBravin Cannabis, avacado leafs,Papaya leafs, soursop leave,tumeric, dandelion roots ginger,moriga all this help to cure Cancer.imagine we all have this in Africa infact for free.bravin Open online Shop make avacado powerder and Papaya Ill be the first person to buy.",6,yes,"Cannabis, avacado leafs,Papaya leafs, soursop leave,tumeric, dandelion roots ginger,moriga",yes,
331,Ayurveda not only heal body but also mind and our soul. from simple flue to Cancer all can be avoided with Ayurveda. Better to be safe than sorry. Prevention with Ayurveda is better than cure with failed allopathy. #Ayurveda_A_Panacea,6,yes,ayurveda,yes,
338,"Everyone who has one they kill, the healthcare system is one big business. If they keep giving radiation and chemotherapy they make more money. So why give up the cure that‰Û¡ÌÝåÁÌÎÌÌ´åÈs taking away from their financial gain. https://t.co/XxxKMmcS3z",6,yes,chemotherapy,no,
372,"Heartbreaking interview on Sky News. A couple who have been together for I think 62years and the wife has Alzheimer‰Û¡ÌÝåÁÌÎÌÌ´åÈs. The real love they share is so uplifting. Reminded me of my mum who had Alzheimer‰Û¡ÌÝåÁÌÎÌÌ´åÈs. Let‰Û¡ÌÝåÁÌÎÌÌ´åÈs hope for a cure soon. Cannabis oil could be helpful if Home Secretary approves, it has been said to be effective in treating Alzheimer's and Parkinson's disease, Epilepsy, Arthritis, Migraine and some cases of Cancer, really needs to be legalized so that many sufferers can get relief. https://t.co/jxCtj1iXw4",6,yes,cannabis oil,yes,
386,"@gatesfoundation I challenge the Gates Foundation to meet with Dr. Inuo. He has cured so many diseases and has 100% cure rate for cancer with no chemotherapy, no radiation. No sir no surgery. He is in Honolulu Hawaii. You will need a Japanese interpreter.",5,yes,Dr Inuo,yes,
391,"Black seed oil can cure cancer by killing cancer cells, diabetes, PCOS, fertility, migraines, skincare , and Weightloss, toxin, respiratory, heal your body overall system, restore your body etc.",5,yes,black seed oil,yes,
394,"Our nutrition and health expert Manny Noakes helped @abcnews fact check Pete Evans' paleo diet film. https://t.co/p2i5p49jEN ^EK https://t.co/ppbedly4tZ ""... there's no evidence that I'm aware of that just having a ketogenic diet on its own will cure any form of cancer."" #FactCheck #Tick https://t.co/XHSritsXzz",5,yes,ketogenic diet,no,
405,Latest blog from #WEOY Talking trade wars w/ '17 winner AGT Food's Murad Al-Katib; 'innovation is freedom' at @OVH ; and philanthropist Andrew Forrest @ForrestResearch on how data-sharing can cure cancer: https://t.co/kBcgwJKxms via @financialtimes @muradagtfoods @ftreports,5,yes,data-sharing,yes,
415,"That quack was no different from these charismatic African pastors that say they can cure cancer and aids with ginger and garlic https://t.co/OeZNFeBGDS Given my work/concent, I'd hope no one following me would actually think that ""Dr."" Sebi was remotely credible in his claims that he cured HIV, but here's a good thread o' receipts. https://t.co/xFWLdTMMOU",5,yes,"ginger,garlic",no,
416,"Presenting pitfalls in medical image translation and synthesis at #midl2018 Codenamed: ""How to cure cancer (in images)"" arXiv: https://t.co/UNrJOZBqLB https://t.co/pt3dTJE2MS",5,yes,medical image translation,yes,
420,"$AGEN CEO @garo_armen and @Agenus_Bio #WearWhite with @CancerResearch to show our commitment to fight #cancer with #Immunotherapy #oncology #CureCancer https://t.co/F5ViGUl6KY Proud to work with a pioneer in #Immunotherapy, Dr. @garo_armen, &amp; #WearWhite to stand with @CancerResearch &amp; our courageous patients &amp; physicians #InPursuitOf your cure for cancer. https://t.co/ve97OxqAkW",5,yes,immunotherapy,yes,
422,"Dr. Britt Brockman: Data has the power to heal. Hospitals across Kentucky, use the information from the #cancer registry to hone treatment, tailor a diagnosis, and initiate programs and interventions that both help cure and prevent #cancer. @UK_HealthCare @universityofky",5,yes,data,yes,
426,"looking for Good Stuff? Variety of Top Quality Medical Strains,Hash &amp; canna Oil available!! Overcome your lost of appetite, cure insomnia, pains, Cancer, Anxiety Disorders,Major Depression 100% Discrete Packaging and Safe Delivery is Guaranteed https://t.co/FetYAEBMin",5,yes,"hash, canna oil",yes,
430,"@purushueme @SANDEEPCOL @kailashkaushik8 @gouranga1964 @jyotsnavarma9 @INDIANISMIST @Devarshi_21 @MODIJI_helpus @MohitKu89856580 @swetasamadhiya @INDIA00541401 @raghu500000 @Krishna333110 @SP_UMANG @me_Giezelle @surewrap @ChakdeIndia11 @ragiing_bull @RakeshA12572734 @vera_anz @ind_rajat92 @sureshraoayala1 @PremlataAsopa @rajbir2728 @pranjal_dureja @AbdulBarri4444 @SGauni @ar_jag84 @vel_jaya @BerretBlack @chittisarma18 @pksrivastava6 @borana_borana @wetwokrishna @debduttakolkata @sbhats @muralydoctrack1 @SUBRATSMSM @pkban @Bujji40397018 @shakun1931 @sharma_jyo @SharmaAnks08 @RaiBahadur13 @arrorasanjeev @_ankahi @025_batman @dayonesh @HMOIndia @PMOIndia Lo and behold ""American woman claims drinking her dog's urine helped cure her acne She goes on to state that dog urine contains vitamin A, vitamin E, 10 grams of calcium and it‰Û¡ÌÝåÁÌÎÌÌ´åÈs also a potential cure for cancer."" https://t.co/NozMkz5L6H",5,yes,dog urine,yes,
439,RT @SexIsDisgusting: Hey did you guys know HRT will cure cancer and make you grow wings so you can fly?,5,yes,HRT,no,
454,"RT @ADevotedYogi: Cockroach sushi? Inside a farming revolution that could cure cancer, compost waste ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ and shake up menus https://t.co/twbh‰Û¡ÌÝåÁÌÎÌ_",5,yes,cockraoch sushi,no,
460,"@2MattandGaby2 No. Laetrile does not cure cancer or anything else. It has been studied, and it does not work. Please stop spreading this dangerous bullshit. https://t.co/7Z0jpA3OsP",5,yes,laetrile,no,
462,"Japanese biologist found cure of cancer and awarded noble prize Acc to him:when we fast 10-12 hrs in a day, energy already present in body is used up.With time, when appetite become intense body start to eat cancer cell He said:We should fast 20 days/yr to kill all cancer cells https://t.co/VVuJkjEPB7",5,yes,fasting,yes,
479,@ClarkeMicah Peter are you in favour of medicinal use of cannabis oil for epilepsy MS cancer etc? The evidence seems overwhelming that it can cure and change people's standard of life for the better. I am in favour of using medicines of any kind that have been rigorously tested for efficacy and shown to be free of dangerous side-effects. Otherwise not. https://t.co/dcURElgpsr,4,yes,cannabis,yes,
482,"RT @AACRFoundation: We're leading discoveries, targeting cures and saving lives. Follow us to see how were helping cure cancer.",4,yes,AACRF,yes,
485,"@aeidinger @POTUS @BenCarsonizer @NPR @wamu885 @kojoshow @I_Luv_Thinkers US has held patent on cannabis as a cure for Cancer and many other diseases since 1930's.. so if they have a patent, why NOT LEGALIZE IT? THEY ALSO RENEW IT EVERY 15-30 YEARS OR SO.",4,yes,cannabis,yes,
487,Dr. Sarah Greenblatt an outstanding PhD cancer researcher @SylvesterCancer completed beautiful story demonstrating critical role 4 CARM1 in Acute Myeloid Leukemia. Her dedication &amp; creativity &amp; assistance frm many others has led 2 important discovery on novel therapeutic target. https://t.co/ZnzSVakQxR Published in journal Cancer Cell: targeting CARM1 inhibits #AML and spares normal cells in study by @SylvesterCancer researchers including @DrSDNimer. #InPursuitOf your cure https://t.co/C8txUqLK1l,4,yes,CARM1,yes,
492,"Immunotherapy Vaccine Shows Great Promise in Treating Brain Cancer Patients-JUNE 13, 2018ÌÎå«ÌÎ_ Adding an immunotherapy vaccine to traditional treatment methods is improving outcomes for patients withÌÎå«ÌÎ_glioblastoma (GBM), the most aggressive form of brain cancer https://t.co/mEBjsytCbI Closer but not close enough! #Northwest Biotherapeutics report on their #DCVAX trial show that ‰Û¡ÌÝåÁÌÎÌÌÎåAt the time of the interim analysis, 108 of the 331 participants were still alive‰Û¡ÌÝåÁÌÎÌÌ´å. So that‰Û¡ÌÝåÁÌÎÌÌ´åÈs 223 who are not! . Better needed for success and certainly not a cure for #glioblastoma https://t.co/2x4fAI5V5v",4,yes,immunotherapy,no,
494,"The Spanish version of ""thoughts and prayers"" What's next for you, Bea? Antivaxxer? Deny global warming? Shame on you for spreading panic. Science is the ONLY answer to disease! For your information: Homeopathy doesn't work! Pot doesn't cure cancer! In case you get other ideas. https://t.co/hvqEfzph0f ‰Û¡ÌÝåÁÌÎÌÌÎåNo creo que sea peligroso que la gente no se crea los estudios cientÌÎÌ__ficos sobre medicamentos. Es muy saludable que sean escÌÎÌ_Ì´å©pticos teniendo en cuenta que nuestros fÌÎÌ_ÌÎårmacos son la tercera causa de muerte.‰Û¡ÌÝåÁÌÎÌÌ´å",4,yes,"homeopathy, pot",no,
498,Indian cows are collaborating with Indian biotechnologists and Indian journalists to create a cure for Indian cancer. Drug to be launched soon on Indian WhatsApp groups. https://t.co/hNIQ1AHgA4,4,yes,cows,no,
510,All natural fruits all natural vegetables and all Natural herbs will cure any cancer out there ... pills n radiation treatments won‰Û¡ÌÝåÁÌÎÌÌ´åÈt they will just give you side effects and make it worst. ?????,4,yes,"vegetables, fruits, herbs",yes,
512,"There's a lot of things na pwedeng magawa sa marijuana, it can cure cancer and it can create a plastic that decays for 90 days. ADVANCED KASI AKO MAGISIP. ??????",4,yes,marijuana,no,
519,i don't like drugs and that stuff but cannabis oil and marijuana should be legalized everywhere. like it's proven it can cure a few types of cancer. imagine getting fucking arrested for saving your own life,4,yes,"cannabis oil, marijuana",yes,
525,Those Treated With Newer #HepC Drugs Have Lower Non-Liver Cancer Rates - The link between the older interferon treatment and these cancers may be related to the drug‰Û¡ÌÝåÁÌÎÌÌ´åÈs low hep C cure rate https://t.co/M3IVpNsneZ #bladdercancer #interferon #leukemia #lungcancer #prostatecancer,4,yes,HepC,yes,
